㞮	shutsu sui
噹	tou
噾	in
噿	sui
嚀	dei nyou nei
嚁	teki jaku
嚂	ran kan
嚃	tou tai te
嚄	kaku waku
嚅	ju nyu
嚆	kou
嚇	kaku ka
嚈	you
嚊	hi
嚋	chuu chu
嚌	sei zai kai sai
嚍	shin
嚎	kau gou
嚏	tei
嚐	shou
嚔	tei
嚕	ro
嚗	haku boku hou hyou
嚘	iu u
嚙	gou
嚚	gin gon gan gen
嚜	bi mi bai me boku moku
嚝	kaku
嚞	tetsu
嚟	ri
嚠	ryuu
嚢	nou
嚥	en
嚦	reki ryaku
嚧	ro
嚨	rou ru
嚩	haku
嚪	tan dan
嚫	shin
嚬	hin bin
嚭	hi
嚮	kou kyou
嚱	ki
嚲	ta
嚳	koku
嚴	gen gon
嚵	san zan sen zen
嚶	ou
嚷	jau
嚻	gou kyou
嚼	shaku
嚽	setsu
嚾	kan tan
囀	ten
囁	shou
囂	gou kyou
囃	sou
囅	ten tetsu techi
囆	tai te
囈	gei
囉	ra
囊	nou
囋	satsu zachi
囌	so
囎	so
囏	kan ken
囐	satsu zachi gatsu gachi
囑	shoku
囓	ketsu getsu
囔	dou
囗	i koku
囘	kai e
囙	in
囚	shuu
四	shi
囜	jin nin
囝	ken gen gachi
回	kai e
囟	shin shi
因	in
囡	juu nou nan
团	shuu
団	dan ton
囤	ton don
囥	kou
囦	en
囧	kei kyou
囨	hen
囪	sou su
囫	kotsu kochi
囬	kai
园	gan tan dan en
囮	ka yuu
囯	koku
困	kon
囱	sou su
囲	i tou
図	to zu
囶	koku
囷	kin kon gon
囹	rei
固	ko
囻	koku
国	koku
囿	yuu
圀	koku
圁	gin gon gan gen
圂	kon gon kan dan
圃	ho
圄	gyo go
圅	kan gon
圇	rin
圈	ken
圉	gyo go
圊	sei shou
國	koku
圌	sen zen sui zui
圍	i
圎	en
圏	ken
圑	ho fu
園	en on
圓	en
圔	ou you
圕	toshokan sho
圖	to zu
圗	to zu
團	dan ton don
圚	kai e gai
圛	eki yaku
圜	kan en
圝	ran
圞	ran
土	do to
圠	atsu echi
圢	tei chou ten
圣	kutsu kochi sei
圤	haku hoku
圥	roku
圧	atsu
在	zai
圩	u o i kyo
圪	gitsu gichi gochi itsu ochi
圫	au
圬	o u
圭	kei
圮	hi bi
圯	i shi
地	chi ji
圳	shiu shu shin son shun
圴	shaku saku
圻	ki gin
圽	botsu mochi
圾	gyuu gou shoku sei
圿	katsu kechi
址	shi
坁	shi
坂	han
坅	kin kon gin gon san
坆	bai fun
均	kin in
坉	ton don
坊	bou
坋	fun hon bon
坌	hon bon fun
坍	tan ton
坎	kan
坏	hai
坐	za
坑	kou
坒	hi bi
块	kai
坙	kei
坚	ken
坡	ha hi
坢	han ban
坤	kon
坥	sho
坦	tan
坧	seki shau
坨	i ta da
坩	kan
坪	hei hyou
坫	ten chin
坬	ka ke
坭	dei nai de ni
坮	dai tai
坯	hi hai he
坰	kei kyou
坱	au
坲	futsu buchi hetsu bechi
坳	au eu
坴	riku roku
坵	kyou
坶	boku moku
坷	ka
坹	ketsu gechi
坺	hatsu hachi bochi
坻	chi ji shi tei tai
坼	taku chaku
坽	rei ryou
坾	cho jo
坿	fu
垀	ko ku
垁	chi ji
垂	sui
垃	ratsu
垈	tai
垉	hou
型	kei
垌	tou tsu
垏	rotsu rochi
垐	shi ji shou jiki
垓	gai kai
垔	shyou ju tou zu
垕	kou
垗	teu deu
垘	fuku buku hoku boku
垙	kuu
垚	geu
垛	da
垜	da
垝	ki
垞	ta da
垟	you
垠	gin gon
垡	hatsu bochi
垢	kou ku kiku
垣	en
垤	tetsu
垥	keu kou
垧	kei kyou
垨	shu su
垩	sei shou
垬	kyou
垶	sei shou
垸	kan gan
垹	hou
垺	fu ho hou bu hai he
垻	hai ha he
垼	eki yuku
垽	gin gon
垾	kan gan
垿	sho jo
埀	sui
埁	shin jin
埂	kau kyou
埃	ai
埄	hou bo
埆	kaku
埇	you yu
埈	shun
埋	mai bai
埌	rou
城	jou
埏	sen zen en
埐	shin
埒	rachi ratsu retsu
埓	rachi
埔	ho
埕	tei
埜	sho ya
埝	ten deu neu nen
埞	tei
域	iki
埠	fu
埡	o u
埢	ken
埣	sai sotsu
埤	hi bi hei
埥	sei shou sou
埦	wan
埧	ku gu
埩	sau shou
埫	shou chuu
埬	tou tsu
埭	tai dai
埮	tan
埯	en an on
埰	sai
埱	shyuu tou tsu
埲	hou bo hau bau
埳	kan
埴	shoku
埵	ta
埶	gei sei
執	shitsu shuu
埸	eki yaku
培	bai hou hai
基	ki
埻	shun ta da tai te kou juku
埼	ki
埽	sou
埾	shu ju
埿	dei nai han ban
堀	kutsu
堁	ka kai ke wa
堂	dou tou
堃	kon
堄	gen
堅	ken
堆	tai tsui
堇	kin
堈	kou
堉	iku
堊	a aku o
堋	hou
堌	ko ku
堍	to
堕	da
堘	shou
堙	in
堛	hiyoku hiki
堜	ren
堝	ka
堞	teu deu
堟	ten den
堠	kou ku
堡	hou ho
堣	gu
堤	tei shi
堥	bou mu bau mou bu
堦	kai
堧	zen nen da na dan nan
堨	getsu gechi atsu achi ai
堩	kou
堪	kan tan
堬	yu
堭	kau wau
堮	gaku
堯	gyou
堰	en
報	hou
堲	shitsu shichi shoku jiki shiki shi
堳	bi mi
場	jou
堵	to
堶	ku gu
堷	an on
堸	fu bu
堹	shou shu
堺	kai
堻	shin
堼	kou gou hou fu
堽	kou
堿	kan kon
塀	hei
塁	rui
塈	ki gi ke kai gai
塉	seki shaku
塊	kai
塋	ei
塌	tou
塍	shou jou
塎	you yu
塏	kai gai
塐	so
塑	so
塒	shi ji
塓	beki myaku
塔	tou
塕	ou o
塖	shou
塗	to
塘	tou
塙	kaku kou
塚	chou
塛	ritsu richi
塜	hou
塝	hau bau
塞	soku sai
塟	sou
塡	ten chin
塢	o u
塣	tei chou
塤	ken tawan
塥	kaku kyaku
塧	ai e
塨	kyou
塩	en
填	ten chin
塲	jou
塴	hou
塵	jin
塶	koku
塸	ou o
塹	zan sen
塺	bai me ba ma
塻	baku maku
塼	sen tan dan zen
塽	sau shou
塾	juku
塿	rou ru
墀	chi ji
墁	ban man
墂	hyou heu
境	kyou kei
墄	soku
墅	sho ya
墆	tetsu dechi tei tai dai
墇	shou
墈	kan kon
墉	you yu
墊	ten teu deu
墋	shin
墌	shaku seki
墍	ki gi ke kai gai
墎	kuwaku
墏	shou sau
墐	kin gon
墑	teki chaku
墒	shou
墓	bo
墔	sai ze
墖	tou
増	zou sou
墜	tsui
墝	kou kyou
增	zou sou
墟	kyo
墠	sen zen tan
墡	sen zen
墢	hatsu hai
墣	haku hoku
墥	tou tsu tan
墦	han hon
墨	boku moku
墩	ton
墫	shun
墬	chi
墭	sei
墮	da
墯	da
墱	tou
墲	bo mo bu mu
墳	fun
墸	sho
墺	ou iku
墻	shou
墼	keki kyaku
墽	kau keu
墾	kon
墿	eki to
壁	heki
壂	ten den
壄	ya
壅	you
壆	kaku gaku
壇	dan tan
壈	on ran
壉	kyo
壊	kai
壌	jou
壍	zan
壎	ken kuwan kun
壏	kan on
壐	shi ji
壑	gaku kaku
壒	ai kai
壓	atsu ou en
壔	tau
壕	gou
壖	zen nen
壘	rui
壙	kou
壚	ro ryo
壛	en
壜	tan don
壝	i ta
壞	kai e
壟	ryou rou
壠	rou
壡	ei
壢	reki ryaku
壣	rin
壤	jou
壥	ten
壧	gan
壨	rai
壩	ha he
士	shi ji
壬	jin nin
壮	sou
壯	sou
声	sei shou
壱	ichi itsu
売	bai mai
壳	kaku
壴	shu chu
壷	ko
壸	kon
壹	ichi itsu
壺	ko
壻	sei
壼	kon
壽	ju su shuu juu
壾	bou mou
壿	shun son
夂	chi shuu shu
夃	ko ku ei
夅	kou
夆	hou fu ba
変	hen
夊	sui
夋	shun
夌	ryou
夎	sa sha sai
夏	ka ge
夐	kei ken
夒	dou nou
夓	ka ge
夔	ki gi
夕	seki
外	gai ge
夗	en on
夘	bou
夙	shuku
多	ta
夛	ta
夜	ya
夝	sei jou sou shou
夠	kou ku
夡	ki
夢	mu
夣	bou mu
夤	in i
夥	ka wa
大	tai dai ta
夨	shoku shiki retsu rechi
天	ten
太	ta tai
夫	fu fuu
夬	ketsu kechi kai
夭	you ou ka
央	ou
夯	kou
夰	kou gou
失	shitsu itsu
夲	tou hon
夳	tai
夵	en tau tou
夶	hi
夷	i
夸	ko ka
夾	kou kyou
夿	ha he
奀	bou
奃	tei tai
奄	en
奅	hou hyou
奆	ken gan
奇	ki
奈	na dai
奉	hou bu
奌	ten
奎	kei ki
奏	sou
奐	kan
契	setsu kei
奒	kai hou bu
奓	ta sha shi
奔	hon
奕	eki yaku
套	tou
奘	jou sou zou
奙	hon
奚	kei
奛	kou
奜	hi
奝	chou
奞	shun sui you
奟	kou hou hyou
奠	ten den tei
奡	gau gou
奢	sha
奣	wan kou
奥	ou
奧	ou oku iku
奨	shou sou
奩	ren
奪	datsu
奫	in
奬	shou sou
奭	seki shaku kaku kyaku
奮	fun
奯	katsu kachi
奰	hi bi
奱	ren
奲	sha sen ta
女	jo nyo nyou
奴	do nu
奵	tei chou ten
奶	dai ne nai
奷	sen
奸	kan
她	chi ji sha ta i
奻	dan nan
奼	ta to tsu
好	kou
奾	sen
奿	gan
妁	shaku
如	jo nyo
妃	hi hai
妄	bou mou
妅	kou ku
妊	nin jin
妋	fu you u
妌	sei jou
妍	ken gen
妎	kai gai kei gei
妏	bun mon
妐	shou shu
妒	to tsu
妓	ki gi
妕	chuu chu
妖	you
妗	sen ken kan kin gon
妘	un
妙	myou byou
妚	fuu hai
妛	shi
妝	sou shou
妞	juu nyu chuu
妟	an en
妠	dou nou datsu nachi dan nan
妡	kin kon
妢	fun bun
妣	hi
妤	yo
妥	da ta
妦	hou fu
妧	gen gan
妨	bou
妬	to
妭	hatsu bachi
妮	ji ni
妯	chuu jiku roku toku doku
妰	chaku
妱	shou
妲	datsu
妳	dai nai dei ji
妴	en on
妵	tou tsu
妶	ken gen
妷	chitsu jichi itsu ichi tetsu
妸	a
妹	mai
妺	batsu machi matsu
妻	sai
妼	hi bi hitsu bichi
妽	shin
妾	shou
姀	ka wa
姁	ku gu
姃	sei shou
姄	bin min
姅	han
姆	bo mo
姇	fu fuu bu
姈	rei ryou
姉	shi
姊	shi
始	shi
姌	zen
姍	san sen han satsu sachi
姎	au
姏	ban man kan kon
姐	so sha
姑	ko
姒	shi ji
姓	sei shou
委	i
姖	kyo go
姗	san sen han satsu sachi
姘	hin hau hei
姙	nin jin
姚	you chou
姛	tou zu
姜	kyou
姝	su shu
姞	kitsu kichi
姟	kai
姠	shou kyou kou
姡	katsu kachi
姢	ken en
姣	kou keu geu
姤	kou ku
姥	bo mo
姦	kan ken
姧	kan
姨	i
姩	den nen
姪	tetsu chitsu
姫	ki
姬	ki
姭	ken
姮	kou gou jou
姯	kou
姱	ka ke ko go ku
姲	an en
姳	bei myou
姴	retsu rechi
姵	hai bai be
姶	ou
姷	yuu u
姸	ken gen
姹	ta to tsu
姺	shin sei sai son sen
姻	in
姼	shi ta tei dai ki gi
姽	ki gi ka
姾	sen
姿	shi
娀	shuu shu
威	i
娃	a ai
娄	ru rou
娉	hei hou
娊	ken gen
娌	ri
娍	sei jou
娎	ketsu kechi kyou
娏	bou mou
娑	sha sa
娒	bo mo
娓	bi mi ki
娕	saku shoku soku rai
娖	saku shoku soku
娗	tei jou ten
娘	jou nyou
娙	gou gyou kou kei
娚	nan nou
娛	go ku
娜	da na
娞	dai ne sui
娟	ken en
娠	shin
娣	tei dai
娤	sou shou
娥	ga
娧	tai te etsu echi
娨	ban man kan gen
娩	ben han
娪	go gyo
娬	bu mu
娭	ki ai
娮	den
娯	go ku
娰	ji shi
娵	shu sou
娶	shu
娷	tsui sui zui
娸	ki
娹	ken gen
娼	shou
娾	gai ge gou kyou
娿	a
婀	a
婁	rou ru rui
婃	sou su
婄	hou bu bai
婅	kiku koku
婆	ba
婇	sai
婈	ryou
婉	en
婊	hyou
婌	shuku juku
婍	ki
婐	wa ka
婑	zui ni wa
婒	tan dan
婓	hi
婕	shou
婖	ten
婗	gei
婘	ken gen
婚	kon
婛	kei kyou
婜	kan ken kin
婝	ten den
婞	kei gyou kou
婟	ko go
婠	wan watsu wachi kan kuwatsu guwachi
婢	hi
婣	in
婤	shuu shu chou chuu juu
婥	dou nyou teki jaku shaku
婦	fu
婧	sei shou juu
婩	gen gan jaku gaku
婪	ran rin
婬	in
婭	a
婰	ten
婳	kaku gyaku
婷	tei chou
婸	tou dou you
婺	bu mu bou boku moku
婻	dan nan
婼	shaku ji ni ja nyuu
婽	ka ke
婾	tou tsu yu
婿	sei
媃	juu nyu
媄	bi mi
媊	sen zen shi
媋	shun
媌	bou myou boku moku
媎	so
媏	tan
媐	ki i
媒	bai mai bou
媓	kou ou
媔	ben men
媕	en an on au ou
媖	ei yuu
媗	ken kan sen
媙	i
媚	bi
媛	en
媜	tei chou
媝	shuu shu
媞	shi ji tei dai tai ta
媟	setsu sechi
媠	ta da na ra
媢	bou mou boku moku bai me
媤	shi
媥	hen
媦	i
媧	kai ke ka
媩	ko go
媪	ou
媬	ho
媭	shu
媮	tou tsu yu
媰	shiu su shu ju
媱	eu
媲	hei hi bi
媳	seki shaku
媴	en on
媵	you
媶	jou nyu
媷	joku niku
媸	shi
媹	riu ru
媺	bi mi
媻	han ban ha ba
媼	ou
媽	bo mo
媾	kou
媿	ki
嫀	shin jin
嫁	ka ke
嫂	sou
嫄	gen gan
嫆	you yu
嫇	bei myau bau
嫈	seu au gei gyou ei kei
嫉	shitsu
嫊	so
嫋	jou jaku deki
嫌	ken gen
嫍	tau tou eu
嫏	rou
嫐	jou
嫕	ei
嫖	hyou
嫗	ou u
嫘	rui rai re
嫙	sen zen
嫚	ban man ben men en
嫛	ei i
嫜	shau
嫝	kau
嫞	shou ju chou chu
嫟	jiyuku niki
嫠	ri
嫡	chaku teki
嫢	ki i gi shi ken gen
嫣	en
嫥	sen tan dan
嫦	kou gou
嫨	kan zen nen
嫩	don non zen
嫪	rau rou
嫫	bo mo
嫬	sha sho
嫭	ko go
嫮	ko go
嫳	hetsu hechi
嫴	ko ku
嫵	bu mu
嫶	seu zeu
嫷	ta
嫸	sen
嫹	bau meu
嫺	kan
嫻	kan
嫽	reu rau
嫿	kaku gyaku
嬀	ki gi
嬁	tou
嬂	shoku shiki
嬃	shu
嬅	kuwa ge
嬇	kuwai e ke
嬈	deu neu zeu dau eu keu
嬉	ki
嬋	sen zen
嬌	kyou
嬍	bi
嬎	han
嬏	han
嬐	sen gen gin gon
嬓	keu
嬔	fu
嬖	hei
嬗	sen zen tan
嬙	shou zou shoku shiki
嬚	ren
嬛	ken kei gyou
嬝	jou
嬞	tou
嬠	san
嬡	ai
嬢	jou
嬣	tau nyau dei
嬤	ba ma
嬥	chou jou taku daku teki chaku
嬦	chiu jiyu shiu
嬧	shin jin
嬨	shi ji
嬪	hin
嬬	shu ju dou
嬭	dai ne dei nai ji ni
嬮	en ehu
嬯	tai dai
嬰	ei
嬲	jou
嬴	ei
嬷	ba ma
嬸	shin
嬼	riwa ru
嬽	en on wan
嬾	ran
嬿	en
孀	sou
孁	rei ryou
孃	jou
孅	sen
孇	sawa
孈	sui i kuwai e ki kei
孋	ri rei rai
孌	ren ran ban man
孍	gen gon
孎	shoku soku zoku taku choku
子	shi su
孑	getsu ketsu
孒	ketsu kachi kyou ku kutsu
孔	kou
孕	you
孖	shi ji
字	ji
存	son zon
孚	fu
孛	botsu hai
孜	shi
孝	kou kyou
孞	shin
孟	mou myou man
季	ki
孤	ko
孥	do nu
学	gaku
孨	sen juu nyuu
孩	kai gai
孫	son
孮	sou zu
孯	kan ken
孰	juku
孱	sen san
孲	a
孳	shi ji
孵	fu
孶	shi ji
孷	ri
學	gaku
孺	ju
孻	dai nai
孼	getsu gechi
孽	getsu gechi
孾	ei
孿	san sen ren
宀	ben men
宁	cho
它	ta sha
宄	ki
宅	taku
宆	kyou
宇	u
守	shu su
安	an
宊	totsu ka
宋	sou
完	kan
宍	niku
宎	eu you
宏	kou
宐	gi
宑	sei shou
宒	chun
宓	bitsu michi fuku buku hitsu
宔	shu
宕	tou
宖	kou
宗	shuu sou
官	kan
宙	chuu
定	tei jou
宛	en
宜	gi
宝	hou
実	jitsu shitsu
客	kyaku kaku
宣	sen
室	shitsu
宥	yuu
宦	kan gen
宨	tewa
宩	shi
宫	kyuu guu
宬	sei jou
宭	kun gun
宮	kyuu guu
宯	kou kyou
宰	sai
宱	sa ja
宲	hou
害	gai katsu
宴	en
宵	shou
家	ka ke ko
宷	shin
宸	shin
容	you
宺	kou
宻	mitsu
宼	kou
宿	shuku shuu
寀	sai
寁	san shou
寂	jaku seki
寃	en
寄	ki
寅	in
密	mitsu
寇	kou
寉	kaku
寊	tei chawa
寋	ken
富	fu fuu
寍	nei
寎	hei kei
寏	kan gan
寐	bi
寑	shin
寒	kan
寓	guu gyo
寔	shoku
寕	nei nyou
寖	shin
寗	nei nyuu
寘	shi
寙	yu
寚	hou
寛	kan
寜	nei nyou
寝	shin
寞	baku maku
察	satsu sechi
寠	ku ru rowa
寡	ka
寢	shin
寣	kotsu kochi
寤	go
寥	ryou
實	jitsu shitsu
寧	nei nyou
寨	sai
審	shin
寪	i gi
寫	sha
寬	kan
寮	ryou
寯	shun
寰	kan
寱	gei
寲	gi
寳	hou
寴	shin
寵	chou
寶	hou
寸	sun son
对	tai tsui
寺	ji shi
寽	rin richi
対	tai tsui
寿	ju juu su shuu
尀	ha
封	fuu hou
専	sen
尃	fu ho
射	sha seki
尅	koku
将	shou sou
將	shou sou
專	sen
尉	i
尊	son
尋	jin
尌	shu ju chu jiu
對	tai tsui
導	dou
小	shou
尐	setsu sechi shitsu shichi
少	shou
尒	ji ni
尓	ji ni
尔	ji ni
尖	sen
尗	shuku
尙	shou
尚	shou
尞	ryou
尟	sen seu
尠	sen
尢	ou
尣	ou
尤	yuu
尥	ryou hou chou
尦	ryou hou chou
尨	bou
尩	ou
尪	ou
尫	ou
尬	kai katsu kechi
尭	gyou
尮	ta
尯	ki
尰	shou ju
就	shuu ju
尲	kan ken
尳	kotsu kuchi kuwatsu gechi
尵	tai de
尶	kan ken
尷	kan ken
尸	shi
尹	in
尺	shaku seki
尻	kou
尼	ni jitsu
尽	jin
尾	bi
尿	nyou
局	kyoku
屁	hi
屃	ki
屄	hi
居	kyo ki
屆	kai
屇	ten den
屈	kutsu
届	kai
屋	oku
屌	chou
屍	shi
屎	shi ki
屏	hei byou
屐	geki keki
屑	setsu
屓	ki
屔	dei nai de ni
展	ten
屖	sei sai
屙	a
屚	rou ru
屛	hei byou
屜	tei tai
属	zoku shoku shu
屟	tei tai sehu
屠	to cho
屡	ru
屢	ru
屣	shi
層	sou
履	ri
屧	tei tai sehu
屨	ku
屩	kyaku kaku kiku koku keu
屪	ryou
屫	kyaku
屬	zoku shoku shu
屭	ki
屮	sa
屯	ton chun
屰	geki gyaku haku hiyaku
山	san sen
屳	sen
屴	ryoku riki
屵	gatsu gachi getsu gechi
屹	kitsu gitsu
屺	ki
屻	jin nin
屼	gotsu gochi gutsu guchi kotsu
屽	kan gan
屾	shin san
岀	shutsu sui
岅	han
岆	eu
岇	gou
岈	ka
岉	butsu mochi
岊	setsu sechi gu
岋	gou
岌	kyuu gyuu
岏	guwan
岐	ki gi
岑	shin gin
岒	ken gen
岓	ki ge
岔	sa ta fun
岕	kai
岝	saku shaku zaku
岟	you ou
岠	kyo go
岡	kou
岣	kou ku
岤	ketsu kechi
岥	ha
岦	ryuu
岧	teu deu
岨	so sho
岩	gan
岪	futsu buchi
岫	shuu yuu
岬	kou
岭	rei
岮	ta da
岯	hi bi hai he
岰	you yu au eu
岱	tai dai
岲	kou kyou
岳	gaku
岴	ku
岵	ko go
岶	haku hyaku
岷	bin min
岸	gan
岺	rei
岻	ji ni
岾	sen chou
峀	shuu yuu
峆	kahu gohu
峇	kou gou
峈	raku
峉	gaku gyaku
峊	fu
峋	shun
峌	tetsu dechi
峎	gon
峏	ji ni
峐	kai ki
峒	tou zu dou
峔	bo mo
峕	shi
峖	an atsu achi
峗	gi guwai ge gutsu guchi ki
峘	kan guwan kou gou
峙	ji
峚	bitsu michi
峛	ri
峜	kei
峝	tou zu
峞	ki guwai ge gotsu gochi
峟	you u
峡	kyou kou
峣	gyou
峨	ga
峩	ga
峪	yoku
峫	ya sha ja
峬	ho fu
峭	shou
峮	kin kon kun
峯	hou
峰	hou
峱	dou nou
峲	ri
峴	ken gen
峵	kou
島	tou
峷	shin
峸	sei jau
峹	to
峺	kou kyou
峻	shun
峽	kyou kou
崁	kan
崄	ken
崆	kou ku
崇	suu shuu
崈	shuu
崋	ka
崍	rai
崎	ki
崏	bin
崐	kon
崑	kon
崒	shutsu shuchi sotsu zochi sui
崔	sai sui se
崕	gai
崖	gai
崗	kou
崘	ron
崙	ron rin
崚	ryou
崛	kutsu
崝	sau jau
崟	gin
崠	tou tsu
崡	kan gen
崢	sou
崣	i
崤	kou gyou gou
崥	hei bai hi bi
崦	en
崧	shuu shu suu
崨	sehu zehu
崩	hou
崫	kutsu
崱	shoku jiki
崲	kou wau
崳	yu
崴	wai e i
崵	seu tau
崶	hou fu
崷	shiu ju
崸	ton don
崹	tei dai
崺	i
崼	shi tetsu
崽	sai sha shi
崿	gaku
嵀	chiu jiyu
嵁	kan kon ken sen zen chin gan
嵂	ritsu richi
嵃	gen gan
嵅	kan kon
嵆	kei gei
嵇	kei gei
嵈	kan gan
嵉	tei chau
嵊	shou jou
嵋	bi bai mi
嵌	kan
嵎	guu gu
嵐	ran
嵑	ketsu gechi katsu kachi
嵒	gan
嵓	gan
嵕	sou
嵖	sa
嵗	sei
嵜	ki
嵞	to zu
嵟	ki te de
嵠	gei kei
嵡	ou o
嵢	sou
嵣	tau dau
嵤	kei gyou kou ei you
嵥	ketsu gechi
嵧	riu ru
嵨	o u
嵩	suu shuu
嵪	kou kyou
嵬	kai gai gi
嵭	hou hyou
嵯	sa shi
嵰	ken kan
嵱	you yu
嵲	getsu gechi
嵳	sa
嵷	shou shuu sou su
嵹	kyou gou
嵺	reu kou keu
嵼	san sen
嵽	tetsu dechi tei dai
嵾	shin san son
嵿	tei chou
嶀	to tsu
嶁	ru rou
嶂	shou
嶃	san zan sen zen
嶄	san zan
嶆	sau zou
嶇	ku
嶈	shau sou
嶉	sui shi
嶊	sui tsui sai se
嶋	tou
嶌	tou
嶍	shihu
嶐	ryuu
嶒	shou zou sou jou
嶓	ha
嶔	kin kon ken kan
嶕	seu zeu shou jou
嶙	rin
嶚	ryou
嶛	ryou
嶜	shin sen zen jin
嶝	tou
嶞	ta da
嶟	son shun
嶠	kyou gyou
嶡	kei ke ketsu kachi
嶢	gyou
嶧	eki yaku seki shaku
嶨	kaku gaku
嶩	dau
嶪	gyou
嶫	gyou
嶬	gi
嶭	gatsu gachi getsu gechi
嶮	ken
嶯	shiu sau
嶰	kai ge ke
嶱	katsu kachi
嶲	kei e ki sui
嶴	au ou iku
嶵	sai
嶷	gi gyoku
嶸	kou ou ei you
嶹	tou
嶺	rei ryou
嶼	sho
嶽	gaku
巀	satsu zachi setsu zechi
巂	sui
巃	rou ru
巆	kou kei gyau
巇	ki
巉	san zan
巋	ki gi
巌	gan
巍	gi
巎	dou
巏	ken gen kon
巐	chou
巑	san zan
巒	ran
巓	ten
巔	ten
巖	gan gen
巘	gen gon ken
巙	ki gi dou nou
巛	sen
巜	kai ke kan
川	sen
州	shuu su
巟	kou
巠	kei kyou
巡	jun
巣	sou
巤	rehu
工	kou ku
左	sa
巧	kou
巨	kyo
巩	kyou
巫	fu bu
差	shi sa
己	ki ko
已	i
巳	shi
巴	ha
巵	shi
巷	kou
巸	i ki
巹	kin
巺	son
巻	kan ken
巽	son
巾	kin
巿	futsu fuchi hatsu hachi
帀	sou
市	shi
布	fu
帄	tei chau
帆	han
帇	den nyou
帊	ha he
帋	shi
希	ki
帍	ko go
帎	tan ton
帑	do tou
帒	tai dai
帔	hi
帕	batsu mechi ha he haku myaku
帖	jou chou
帘	ren shin jin you
帙	chitsu
帚	sou shuu
帛	haku
帝	tei tai
帟	eki yaku
帠	gei
帡	hei hiyou byou
帢	kahu
帣	ken gen
帤	geyo niyo
帥	sotsu sui
带	tai
帨	sei sai etsu echi sui zei
帩	seu
師	shi
帬	kun gun
席	seki
帮	hou
帯	tai
帰	ki
帲	hei hiyou byou
帳	chou
帴	satsu sechi san zan sen sai
帵	wan en on
帶	tai
帷	i
常	jou shou
帽	bou mou
帾	to tsu
幀	tei tou chou
幁	su shu
幂	beki myaku
幃	i ki
幄	aku
幅	fuku hyoku
幇	hou
幈	hei
幊	kou ku
幋	han ban
幌	kou
幍	tou kou
幎	beki
幏	ka ke
幐	tou dou
幑	ki
幓	shin sen san seu
幔	ban man
幕	maku baku
幖	hyou
幗	kaku
幘	saku shaku
幙	baku bo
幚	hou
幛	shou
幜	kei kyou
幝	sen tan
幞	hoku boku
幟	shi
幠	ko ku bu mu
幡	han hon
幢	tou dou
幣	hei
幤	hei
幦	beki keki kyaku
幧	seu sau sou
幨	sen
幩	fun bun hi
幪	bou mu mou
幫	hou
幬	chuu ju tou dou
幭	betsu mechi batsu machi
幮	chu jiu
幯	setsu sechi satsu sachi
幰	ken kon
幱	ran
干	kan
平	hei hyou ben
年	nen
幵	ken
并	hei hyou
幷	hei hyou
幸	kou
幹	kan
幺	you
幻	gen
幼	you yuu
幽	yuu
幾	ki
广	gen
庀	hi hei hai
庁	chou tei
庂	shoku shiki
広	kou
庄	sou shou hou
庇	hi
庈	kin gon
庉	ton don
床	shou
庋	ki
庌	ga ge
庍	hai he
庎	kai
序	jo
底	tei
庖	hou
店	ten
庚	kou
庛	shi ji
府	fu
庠	shou
庢	chitsu chichi tei
庣	teu deu
庤	chi ji
庥	kyuu ku
度	taku do to
座	za
庨	kou keu
庪	ki
庫	ko ku
庬	bou mo bau mau
庭	tei
庮	iu yu
庯	ho fu
庰	hei hyou byou
庱	chou ryou
庲	rai
庳	hi bi
庴	seki jaku shaku
庵	an
庶	sho
康	kou
庸	you
庻	sho
庽	dou
庾	yu
庿	byou myou
廀	sou shu
廁	shi shoku
廂	shou sou
廃	hai
廅	ahu kahu gahu
廆	kai e ge ke
廇	riu ru
廈	ka sa
廉	ren
廊	rou
廋	shuu shu sou su
廌	chi
廎	kei kyou tei
廐	kyuu
廑	kin gon kon
廒	gou
廓	kaku
廔	rou ru ryu
廕	in on
廖	ryou
廗	tai
廘	roku
廙	yoku yoki i
廚	zu chuu
廛	ten
廜	to tsu
廝	shi
廞	kin kon gin gon kan ken
廟	byou
廠	shou
廡	bu
廢	hai
廣	kou
廥	kai ke
廦	heki hiyaku
廧	shau zau
廨	kai ke
廩	rin
廪	rin
廫	ryou rou
廬	ryo ro
廮	ei yau
廯	sen
廰	chou tei
廱	you
廲	rei rai ri
廳	chou tei
廴	in
廵	jun
延	en
廷	tei
廸	teki
建	ken kon
廻	kai e
廼	dai nai
廽	kai e
廾	kyou ku
廿	juu nyuu
弁	ben hen
异	i
弃	ki
弄	rou
弅	fun bun
弆	kyo ko
弇	en kan kon dan nan
弈	eki yaku
弉	jou sou zou
弊	hei hetsu
弋	yoku
弌	itsu ichi
弍	ni ji
弎	san
式	shiki shoku
弐	ni ji
弑	shi shii
弒	shi shii
弓	kyuu
弔	chou teki
引	in
弗	futsu botsu
弘	kou gu
弙	o u ko ku
弚	tai de
弛	shi chi
弜	kyou gou ki
弝	ha he
弟	tei dai
弡	kutsu guchi chou
弢	tou
弣	fu
弤	tei tai teu
弥	mi
弦	gen
弧	ko
弨	seu
弩	do
弫	shin
弬	i
弭	bi mi
弮	ken
弯	wan
